,Title,Date,Publisher,Website
0,Pacquiao bets in General Santos find themselves without a party,4 HOURS AGO,Rommel Rebollido,https://www.rappler.com/nation/elections/pacquiao-bets-general-santos-find-themselves-without-party
1,[ANALYSIS] Part 2: Survey says or not,8 HOURS AGO,Jose Ramon Albert,https://www.rappler.com/voices/thought-leaders/analysis-what-survey-says-or-not-lecture-series-public-service-business-government-part-2
2,[OPINYON] Gusto namin ng pinunong may pagpapahalaga sa kasaysayan!,11 HOURS AGO,Ana Kristina Eraga,https://www.rappler.com/voices/ispeak/opinion-we-want-leaders-value-history
3,"Robredo’s infra plan to focus on farmers, fisherfolk, not just building edifices",11 HOURS AGO,Mara Cepeda,https://www.rappler.com/nation/elections/robredo-infrastructure-plan-focus-farmers-fisherfolk-not-just-building-edifices
4,"SUCs in agricultural areas should focus on farming courses, Lacson proposes",20 HOURS AGO,Aika Rey,https://www.rappler.com/nation/elections/lacson-proposal-suc-agriculture-areas-focus-farming-courses
5,Lacson supports '60-40' joint exploration with China in West PH Sea,1 DAY AGO,Aika Rey,https://www.rappler.com/nation/elections/lacson-supports-60-40-joint-oil-exploration-china-west-philippine-sea
6,"Shared candidates: Parties out, personalities in",1 DAY AGO,Bea Cupin,https://www.rappler.com/nation/elections/shared-candidates-political-parties-out-personalities-in
7,"LOOK: PPCRV launches voter education program, materials",1 DAY AGO,Vernise Tantuco,https://www.rappler.com/nation/elections/look-ppcrv-launches-voter-education-program-materials
8,[ANALYSIS] Part 1: Survey says or not,1 DAY AGO,Jose Ramon Albert,https://www.rappler.com/voices/thought-leaders/analysis-what-surveys-says-or-not-lecture-series-public-service-business-government-part-1
9,FAQs: Local absentee voting for the 2022 Philippine elections,1 DAY AGO,Dwight de Leon,https://www.rappler.com/nation/elections/frequently-asked-questions-local-absentee-voting-2022
10,"WATCH: Leody de Guzman wants 'social media brigade' vs disinformation, new ABS-CBN franchise",1 DAY AGO,Jairo Bolledo,https://www.rappler.com/nation/elections/video-leody-de-guzman-abs-cbn-franchise-back-fight-disinformation
11,Voter registration for 2022 Philippine elections ends,2 DAYS AGO,Dwight de Leon,https://www.rappler.com/nation/elections/voter-registration-ends-2022-philippine-elections-october-30-2021
12,Philippines last in global pandemic resilience ranking | Evening wRap,2 DAYS AGO,Not Available,https://www.rappler.com/video/daily-wrap/october-29-2021-evening-edition
13,"Leody: All presidential aspirants, except Robredo, ‘Duterte enablers’",2 DAYS AGO,Jairo Bolledo,https://www.rappler.com/nation/elections/leody-de-guzman-says-all-presidential-aspirants-except-robredo-are-duterte-enablers
14,"Robredo: Reducing emissions should not leave jeep drivers, energy sector behind",2 DAYS AGO,Mara Cepeda,https://www.rappler.com/nation/elections/robredo-says-reducing-emissions-should-not-leave-jeepney-drivers-energy-sector-behind
15,Comelec releases tentative list of candidates for 2022 polls,2 DAYS AGO,Dwight de Leon,https://www.rappler.com/nation/elections/comelec-release-tentative-list-candidates-2022-polls-october-29-2021
16,'Not vote buying': Pacquiao to stop cash aid only when campaign period starts,2 DAYS AGO,Aika Rey,https://www.rappler.com/nation/elections/pacquiao-cash-aid-until-february-2022
17,Pacquiao vows justice for Martial Law victims if elected president,2 DAYS AGO,Aika Rey,https://www.rappler.com/nation/elections/pacquiao-vows-justice-martial-law-victims
18,"Robredo's anti-drug plan: Heavy on prevention, rehab not 'kill, kill, kill'",2 DAYS AGO,Mara Cepeda,https://www.rappler.com/nation/elections/robredo-anti-drug-policy-will-not-be-enforcement-heavy
19,HINDI TOTOO: Si Bongbong Marcos ang nagpanukala ng national ID system bill,2 DAYS AGO,Rappler.com,https://www.rappler.com/newsbreak/fact-check/bongbong-marcos-created-national-identification-system-bill
20,Isko Moreno: Contractualization 'least of my problems' amid pandemic,3 DAYS AGO,Pia Ranada,https://www.rappler.com/nation/elections/isko-moreno-contractualization-least-of-my-problems-covid-19
21,Drilon: Pandemic suppliers owe Philippine government P7.5B taxes | Evening wRap,3 DAYS AGO,Not Available,https://www.rappler.com/video/daily-wrap/october-28-2021-evening-edition
22,[OPINION] Pink Lady: On the public femininity of Leni Robredo,3 DAYS AGO,Jamina Vesta Jugo,https://www.rappler.com/voices/imho/opinion-pink-lady-public-femininity-leni-robredo
23,Iloilo Governor Defensor supports Robredo's presidential run,3 DAYS AGO,Joseph B.A. Marzan,https://www.rappler.com/nation/iloilo-governor-defensor-supports-robredo-presidential-run
24,"FALSE: Chel Diokno wants taxi, jeepney drivers to wear helmets",3 DAYS AGO,Rappler.com,https://www.rappler.com/newsbreak/fact-check/chel-diokno-wants-taxi-jeepney-drivers-wear-helmets
25,Does it bother you when your favorite celebrity runs for public office?,3 DAYS AGO,Rappler.com,https://www.rappler.com/entertainment/celebrities/does-it-bother-you-favorite-celebrity-runs-public-office
26,Isko proposes LGUs use bigger tax share to help small businesses,3 DAYS AGO,Pia Ranada,https://www.rappler.com/nation/elections/isko-moreno-proposes-lgus-use-bigger-tax-share-mandanas-ruling-help-small-businesses
27,FALSE: You can tell if someone is lying through hand gestures alone,4 DAYS AGO,Rappler.com,https://www.rappler.com/newsbreak/fact-check/you-can-tell-someone-lying-hand-gestures-alone
28,Robredo clarifies vote-buying remarks | Evening wRap,4 DAYS AGO,Not Available,https://www.rappler.com/video/daily-wrap/october-27-2021-evening-edition
29,Leody de Guzman also wants local probe into extrajudicial killings,4 DAYS AGO,Jairo Bolledo,https://www.rappler.com/nation/elections/leody-de-guzman-also-wants-local-probe-extrajudicial-killings
